,rank_2022,university,score_2022,link,country,city,region,logo,rank_2021,score_2021,rank_2020,score_2020,rank_2019,score_2019,rank_2018,score_2018,rank_2017,score_2017,Latitude,Longitude,Location,score_2022_2
341,340,University of Hawaiʻi at M_noa,32.1,https://www.topuniversities.com/universities/university-hawaii-manoa,United States,Honolulu,North America,https://www.topuniversities.com/sites/default/files/university-of-hawaii-at-maoa_255_small.jpg,333,31.7,326,32.9,302,34.4,341,34.6,343,33.9,21.29746015,-157.8171888,"21.297460145311803,-157.81718883868444",32.1
342,342,Northeastern University,31.9,https://www.topuniversities.com/universities/northeastern-university,United States,Boston,North America,https://www.topuniversities.com/sites/default/files/northeastern-university_454_small.jpg,362,30,344,31.7,326,32.3,346,33.9,361,32.4,42.3398067,-71.0891717,"42.3398067,-71.0891717",31.9
343,343,Hiroshima University,31.8,https://www.topuniversities.com/universities/hiroshima-university,Japan,Higashihiroshima City,Asia,https://www.topuniversities.com/sites/default/files/hiroshima-university_264_small.jpg,321,32.3,334,32.2,321,32.8,322,35.8,297,37,34.3991292,132.7140406,"34.3991292,132.7140406",31.8
344,344,Universiti Teknologi Brunei,31.7,https://www.topuniversities.com/universities/universiti-teknologi-brunei,Brunei,Bandar Seri Begawan,Asia,https://www.topuniversities.com/sites/default/files/universiti-teknologi-brunei_592560e49988f300e23219b2_small.jpg,350,30.9,379,28.9,442,26.1,,,,,4.9773576,114.8999212,"4.9773576,114.8999212",31.7
345,344,Universität Jena,31.7,https://www.topuniversities.com/universities/universitat-jena,Germany,Jena,Europe,https://www.topuniversities.com/sites/default/files/universitt-jena_592560cf2aeae70239af4bb5_small.jpg,323,32.1,340,31.8,326,32.3,341,34.6,363,32.3,50.9294302,11.5896707,"50.9294302,11.5896707",31.7
346,346,Virginia Polytechnic Institute and State University,31.6,https://www.topuniversities.com/universities/virginia-polytechnic-institute-state-university,United States,Blacksburg,North America,https://www.topuniversities.com/sites/default/files/virginia-polytechnic-institute-and-state-university_592560cf2aeae70239af4d15_small.jpg,326,31.9,327,32.7,338,31.7,367,32.9,361,32.4,37.2283843,-80.4234167,"37.2283843,-80.4234167",31.6
347,347,Kazan (Volga region) Federal University,31.4,https://www.topuniversities.com/universities/kazan-volga-region-federal-university,Russia,Kazan,Europe,https://www.topuniversities.com/sites/default/files/kazan-volga-region-federal-university_313_small.jpg,370,29.5,392,28.5,439,26.2,441-450,,501-550,,55.790447,49.1214348,"55.790447,49.1214348",31.4
348,347,UCSI University,31.4,https://www.topuniversities.com/universities/ucsi-university,Malaysia,Kuala Lumpur,Asia,https://www.topuniversities.com/sites/default/files/ucsi-university_592560e09988f300e2320ce5_small.jpg,391,28.5,442,26,481,24.4,,,,,3.0799621,101.7335176,"3.0799621,101.7335176",31.4
349,347,"University of California, Santa Cruz",31.4,https://www.topuniversities.com/universities/university-california-santa-cruz,United States,Santa Cruz,North America,https://www.topuniversities.com/sites/default/files/university-of-california-santa-cruz_92_small.jpg,416,27.2,367,30.2,336,31.9,301,37.6,296,37.1,36.9880503,-122.0582093,"36.9880503,-122.0582093",31.4
350,347,Universität Stuttgart,31.4,https://www.topuniversities.com/universities/universitat-stuttgart,Germany,Stuttgart,Europe,https://www.topuniversities.com/sites/default/files/universitt-stuttgart_580_small.jpg,333,31.7,279,35.6,260,37.1,259,40.5,263,39.3,48.7758459,9.1829321,"48.7758459,9.1829321",31.4
351,351,Brunel University London,31.3,https://www.topuniversities.com/universities/brunel-university-london,United Kingdom,,Europe,https://www.topuniversities.com/sites/default/files/brunel-university-london_592560cf2aeae70239af4acc_small.jpg,368,29.7,359,30.5,332,32,346,33.9,345,33.8,51.5321389,-0.4727493,"51.5321389,-0.4727493",31.3
352,351,Universidad Carlos III de Madrid (UC3M),31.3,https://www.topuniversities.com/universities/universidad-carlos-iii-de-madrid-uc3m,Spain,Madrid,Europe,https://www.topuniversities.com/sites/default/files/universidad-carlos-iii-de-madrid-uc3m_1509_small.jpg,311,33.4,298,34.6,253,37.9,281,38.9,280,37.8,40.54431679,-4.012526862,"40.54431678663762,-4.012526862313965",31.3
353,351,Ural Federal University - UrFU,31.3,https://www.topuniversities.com/universities/ural-federal-university-urfu,Russia,Ekaterinburg,Europe,https://www.topuniversities.com/sites/default/files/ural-federal-university-urfu_592560cf2aeae70239af505a_small.jpg,331,31.8,364,30.4,412,27.5,491-500,,601-650,,56.8403246,60.6160252,"56.8403246,60.6160252",31.3
354,354,Johannes Kepler University Linz,31.2,https://www.topuniversities.com/universities/johannes-kepler-university-linz,Austria,Linz,Europe,https://www.topuniversities.com/sites/default/files/johannes-kepler-university-linz_349_small.jpg,362,30,412,27.8,456,25.5,471-480,,551-600,,48.30694,14.28583,"48.30694,14.28583",31.2
